Script_Id,Script_Title,rt_title,Movie_Release_Date,Script_Date,rt_id,rt_year,rt_critics_score,rt_audience_score
819,Rachel Getting Married,Rachel Getting Married,,,770784042,2008,85,62
824,"Reader, The",The Reader,1/9/2014,,770684517,2008,61,79
826,Rear Window,Rear Window,,12/1/1953,10046,1954,100,95
829,Red Riding Hood,Red Riding Hood,3/11/2014,7/9/2014,771039609,2011,10,39
830,Reindeer Games,Reindeer Games (Deception),2/1/2000,,16279,2000,25,28
832,Remember Me,Remember Me,3/10/2014,4/9/2014,770860248,1985,-1,50
833,"Replacements, The",The Replacements,,2/1/1999,10271,2000,40,67
834,Repo Man,Repo Man,3/1/1984,,16154,1984,98,79
835,"Rescuers Down Under, The",The Rescuers Down Under,,11/1/1990,9505,1990,68,68
836,Reservoir Dogs,Reservoir Dogs,,10/1/1990,14978,1992,92,94
839,Revolutionary Road,Revolutionary Road,12/8/2014,,770674037,2008,68,71
841,Rise of the Guardians,Rise of the Guardians,11/12/2014,9/12/2014,771229644,2012,74,81
842,Rise of the Planet of the Apes,Rise Of The Planet Of The Apes 3,8/11/2014,1/10/2014,771373077,2016,-1,96
843,RKO 281,RKO 281: The Battle Over Citizen Kane,11/1/1999,5/1/1997,746767079,1999,92,74
844,"Road, The",The Road,11/9/2014,,770782192,2009,75,68
845,Robin Hood  Prince of Thieves,Robin Hood: Prince of Thieves,,7/1/1990,10372,1991,59,73
847,"Rock, The",Pirate Radio (The Boat That Rocked),,10/1/1995,770783550,2009,60,71
848,RocknRolla,RocknRolla,10/8/2014,6/7/2014,770681350,2008,59,71
850,"Rocky Horror Picture Show, The",The Rocky Horror Picture Show,,5/28/1905,14020,1975,78,86
851,Romeo & Juliet,Romeo,11/1/1996,10/1/1995,771311407,2012,-1,100
853,"Roommate, The",The Roommate,2/11/2014,4/9/2014,770813870,2011,4,27
854,Roughshod,Roughshod,5/1/1949,,770810947,1949,-1,33
855,"Ruins, The",The Ruins,4/8/2014,,770680566,2008,48,30
856,Runaway Bride,Runaway Bride,,6/21/1905,11674,1999,46,53
860,Rust and Bone,De rouille et d'os (Rust and Bone),12/12/2014,8/11/2014,771303199,2012,82,79
861,S. Darko,S. Darko: A Donnie Darko Tale,5/9/2014,,770782179,2009,0,18
864,"Sandlot Kids, The",nan,4/1/1993,6/1/1992,,,,
865,Save the Last Dance,Save the Last Dance,,6/1/1999,10398,2001,53,59
867,Saw,Saw II,10/4/2014,,8918,2005,36,59
868,Scarface,Scarface,,,12881,1983,88,94
871,Scott Pilgrim vs the World,Scott Pilgrim vs. the World,8/10/2014,5/10/2014,770782775,2010,82,83
872,Scream,Scream,,7/1/1995,17135,1996,80,78
873,Scream 2,Scream 2,,6/19/1905,16559,1997,81,55
874,Scream 3,Scream 3,,5/1/1999,13688,2000,36,38
877,Semi-Pro,Semi-Pro,2/8/2014,6/6/2014,770674955,2008,21,38
878,Sense and Sensibility,Sense and Sensibility,,6/17/1905,10042,1995,98,90
879,Serenity,Serenity,9/5/2014,4/4/2014,8266,2005,82,92
881,"Sessions, The",nan,11/12/2014,,770926614,,,
882,"Seventh Seal, The",The Seventh Seal (Det Sjunde inseglet),,,341817599,1957,94,94
883,Sex and the City,Sex and the City,5/8/2014,,770680567,2008,49,77
885,Sexual Life,Sexual Life,3/5/2014,,175340718,2004,-1,43
887,Shakespeare in Love,Shakespeare in Love,,,14753,1998,93,80
888,Shallow Grave,Shallow Grave,2/1/1995,,16178,1994,72,83
889,Shame,Shame,12/11/2014,,771251632,2011,79,75
892,She's Out of My League,She's Out of My League,3/10/2014,,770682073,2010,58,59
893,Sherlock Holmes,Sherlock Holmes,12/9/2014,9/8/2014,770796118,2009,70,77
894,Shifty,Shifty,9/9/2014,,770804365,2008,96,67
896,"Shipping News, The",The Shipping News,1/2/2014,2/1/1999,13675,2001,55,63
897,Shivers,Shivers,7/1/1976,,770934827,1999,-1,100
898,Shrek,Shrek 2,5/1/2014,,10043,2004,89,69
899,Shrek the Third,Shrek the Third,5/7/2014,,387253026,2007,40,53
900,Sideways,Sideways,1/5/2014,5/3/2014,12851,2004,96,78
901,"Siege, The",Die Sieger (The Invincibles),11/1/1998,,771238388,1994,-1,0
905,Silver Linings Playbook,Silver Linings Playbook,12/12/2014,,771253886,2012,92,86
907,Sister Act,Sister Act,5/1/1992,7/1/1991,10317,1992,71,64
908,Six Degrees of Separation,Six Degrees of Separation,12/1/1993,4/1/1992,13622,1993,88,72
910,Sleepless in Seattle,Sleepless in Seattle,,5/1/1992,12631,1993,71,75
913,Slither,Slither,3/6/2014,9/4/2014,133759650,2006,86,62
914,Slumdog Millionaire,Slumdog Millionaire,1/9/2014,11/7/2014,770770017,2008,94,90
915,Smashed,Smashed,10/12/2014,9/11/2014,771266233,2012,84,67
916,Smokin' Aces,Smokin' Aces,1/7/2014,4/5/2014,387399996,2007,29,62
917,Snatch,Snatch,1/1/2014,8/1/1999,16867,2001,73,94
920,Snow White and the Huntsman,Snow White and the Huntsman,6/12/2014,11/11/2014,771218292,2012,48,52
921,So I Married an Axe Murderer,So I Married an Axe Murderer,,6/15/1905,10601,1993,52,69
923,Soldier,Soldier,10/1/1998,10/1/1997,13402,1998,10,43
924,Someone To Watch Over Me,Someone to Watch over Me,,12/1/1986,13915,1987,76,43
925,Something's Gotta Give,Something's Gotta Give,12/3/2014,6/2/2014,10126,2003,71,70
926,Source Code,Source Code,4/11/2014,1/7/2014,771174105,2011,92,81
928,Spanglish,Spanglish,12/4/2014,,10163,2004,53,61
930,Spartan,Spartan,,2/2/2014,13523,2004,64,63
932,Speed Racer,Speed Racer,5/8/2014,1/7/2014,770669719,2008,39,60
935,St. Elmo's Fire,St. Elmo's Fire,6/1/1985,9/1/1984,13025,1985,47,70
936,Star Trek,Star Trek,5/9/2014,11/7/2014,770673029,2009,95,91
942,Star Wars  A New Hope,Star Wars: Episode IV - A New Hope,5/1/1977,1/1/1976,11292,1977,93,96
943,Star Wars  Attack of the Clones,Star Wars: Episode II - Attack of the Clones 3D,,2/2/2014,10009,2002,67,60
944,Star Wars  Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,,12/1/1981,11366,1983,78,95
946,Star Wars  The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,5/1/1980,,11470,1980,96,97
947,Star Wars  The Phantom Menace,Star Wars: Episode I - The Phantom Menace,,6/21/1905,10008,1999,57,61
948,Starman,Starman,12/1/1984,,10746,1984,79,68
949,Starship Troopers,Starship Troopers,,6/19/1905,13719,1997,63,69
951,Station West,Station West,10/1/1948,6/1/1947,770889089,1948,-1,44
954,Stir of Echoes,Stir of Echoes,9/1/1999,3/1/1998,14386,1999,67,70
956,Strange Days,Strange Days,10/1/1995,8/1/1993,13697,1995,63,73
957,Strangers on a Train,Strangers on a Train,,10/1/1950,10699,1951,98,93
958,"Stuntman, The","Ultimate Stuntman, The - A Tribute to Dar Robinson",6/1/1980,,770890582,1990,-1,0
959,Sugar,Sugar,4/9/2014,,770764963,2008,93,80
962,Sunshine Cleaning,Sunshine Cleaning,3/9/2014,3/7/2014,770682576,2008,72,62
963,Super 8,Super 8,6/11/2014,12/10/2014,771041011,2011,82,75
964,Superbad,Superbad,8/7/2014,7/6/2014,742790759,2007,88,87
966,Supergirl,Supergirl,,1/1/1983,11892,1984,8,27
967,"Surfer King, The",The Surfer King,1/6/2014,4/4/2014,770676849,2006,-1,24
968,Surrogates,Surrogates,9/9/2014,10/7/2014,770801542,2009,39,38
969,Suspect Zero,Suspect Zero,8/4/2014,11/1/2014,14189,2004,18,39
970,Sweeney Todd  The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,12/7/2014,12/6/2014,770672301,2007,86,81
974,Swordfish,Swordfish,,1/1/2014,13173,2001,26,61
975,"Synecdoche, New York","Synecdoche, New York",3/9/2014,7/7/2014,770682711,2008,69,70
976,Syriana,Syriana,12/5/2014,,9369,2005,72,68
977,Taking Lives,Taking Lives,3/4/2014,2/3/2014,17141,2004,22,57
978,"Taking of Pelham One Two Three, The",The Taking of Pelham 1 2 3,10/1/1974,4/1/1973,770674198,2009,50,52
979,Taking Sides,Taking Sides,9/3/2014,,20070,2001,73,72
981,Tall in the Saddle,Tall in the Saddle,9/1/1944,,18797,1941,-1,70
982,Tamara Drewe,Tamara Drewe,10/10/2014,10/9/2014,771042123,2010,66,43
984,Ted,Ted,6/12/2014,,771236465,2012,68,74
985,Terminator,Terminator Salvation,,4/1/1983,770676948,2009,33,55
986,Terminator 2  Judgement Day,nan,,6/13/1905,770910519,,,
987,Terminator Salvation,Terminator Salvation,5/9/2014,10/5/2014,770676948,2009,33,55
988,The Rage  Carrie 2,The Rage: Carrie 2,3/1/1999,2/1/1998,14152,1999,21,34
992,"Thing, The",Where the Wild Things Are,,3/1/1981,770671948,2009,73,57
993,"Things My Father Never Taught Me, The",nan,4/12/2014,,,,,
995,This Boy's Life,This Boy's Life,,3/1/1992,13933,1993,75,80
996,This is 40,This is 40,12/12/2014,,771225336,2012,51,51
997,Thor,Thor,5/11/2014,,770783549,2011,77,76
1000,Three Men and a Baby,Three Men and a Baby (3 Men and a Baby),,11/1/1986,10716,1987,75,47
1001,"Three Musketeers, The","Three Musketeers, The - All for One and One for All",,1/1/1993,770893925,1977,-1,100
1002,Thunderheart,Thunderheart,4/1/1992,10/1/1990,13235,1992,87,75
1003,Ticker,Ticker,11/1/2014,11/1/1997,14062,2001,-1,16
1004,Timber Falls,Timber Falls,12/7/2014,9/6/2014,770680423,2007,38,28
1006,Tin Cup,Tin Cup,,12/1/1995,13203,1996,69,65
1007,Tin Men,Tin Men,,6/1/1986,13409,2002,79,63
1008,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,12/11/2014,,771223851,2011,83,65
1009,Titanic,Titanic,,6/19/1905,22494,1997,88,69
1010,TMNT,TMNT,3/7/2014,8/5/2014,387555583,2007,34,61
1013,Tomorrow Never Dies,Tomorrow Never Dies,,6/19/1905,11715,1997,57,54
1015,Total Recall,Total Recall,,9/1/1990,771190127,2012,30,47
1016,"Tourist, The",The Tourist,12/10/2014,6/8/2014,771035591,2010,20,42
1020,Trainspotting,Trainspotting,,6/18/1905,16743,1996,89,94
1021,Transformers  The Movie,Transformers: Revenge of the Fallen,,,770676429,2009,20,58
1023,Tristan and Isolde,Tristan & Isolde,1/6/2014,,2864426,2005,32,72
1025,TRON  Legacy,Tron Legacy,12/10/2014,,770785471,2010,51,64
1026,Tropic Thunder,Tropic Thunder,8/8/2014,,770681826,2008,83,70
1028,True Grit,True Grit,12/10/2014,6/9/2014,770860165,2010,96,85
1029,True Lies,True Lies,,6/16/1905,16394,1994,72,76
1032,Twilight,Twilight,11/8/2014,2/8/2014,770797582,2008,-1,74
1033,Twilight  New Moon,The Twilight Saga: New Moon,11/9/2014,12/8/2014,770801331,2009,27,61
1034,Twin Peaks,Twin Peaks - Fire Walk with Me,,6/14/1905,13272,1992,60,79
1035,Twins,Twins,,3/1/1998,10844,1988,36,38
1036,Two For The Money,Two For the Money,10/5/2014,10/4/2014,8568,2005,22,49
1038,"Ugly Truth, The",The Ugly Truth,7/9/2014,2/8/2014,770789184,2009,13,61
1040,Under Fire,Under Fire,10/1/1983,,14738,1983,88,69
1042,Unknown,Unknown,2/11/2014,10/9/2014,382673898,2006,38,55
1043,Up,Up,5/9/2014,,770671912,2009,98,89
1044,Up in the Air,Up in the Air,12/9/2014,,770790933,2009,90,79
1046,V for Vendetta,V for Vendetta,3/6/2014,,112770454,2006,73,90
1048,Valkyrie,Valkyrie,12/8/2014,1/7/2014,770671940,2008,61,65
1049,Vanilla Sky,Vanilla Sky,12/1/2014,,13077,2001,40,73
1050,"Verdict, The",The Verdict,,6/4/1905,12978,1982,96,89
1052,Very Bad Things,Very Bad Things,,9/1/1997,16423,1998,44,58
1055,"Visitor, The",The Visitor,4/8/2014,,770679048,2008,89,84
1057,"Walk to Remember, A",A Walk to Remember,,7/1/2000,10093,2002,27,78
1058,Walking Tall,Walking Tall,4/4/2014,,10644,2004,25,61
1060,Wall-E,WALL-E,6/8/2014,,770671491,2008,96,89
1061,Wanted,Wanted,6/8/2014,12/5/2014,770675607,2008,71,69
1062,War Horse,War Horse,12/11/2014,,771041783,2011,77,74
1063,War of the Worlds,War of the Worlds,6/5/2014,,1789,2005,74,41
1064,Warm Springs,Warm Springs,4/5/2014,9/4/2014,167957324,2005,-1,76
1065,Warrior,Warrior,9/11/2014,,770857926,2011,83,92
1066,Watchmen,Watchmen,3/9/2014,,770671949,2009,64,70
1067,Water for Elephants,Water for Elephants,4/11/2014,4/9/2014,771204250,2011,60,70
1068,"Way Back, The",Ain't No Way Back (The Ghost of Fletcher Ridge),1/11/2014,1/9/2014,770710746,1989,-1,33
1069,We Own the Night,We Own the Night,10/7/2014,,770670992,2007,57,61
1071,What Lies Beneath,What Lies Beneath,,6/1/1999,10686,2000,46,59
1072,When a Stranger Calls,When a Stranger Calls,10/1/1979,,14662876,2006,9,44
1074,While She Was Out,While She Was Out,12/8/2014,12/6/2014,770797858,2008,31,18
1075,"Whistleblower, The",The Whistleblower,8/11/2014,8/7/2014,771205410,2010,74,72
1077,White Jazz,White Jazz,,9/7/2014,770795952,2009,-1,0
1078,"White Ribbon, The",The White Ribbon (Das weisse Band),12/9/2014,,770808692,2009,85,78
1079,White Squall,White Squall,,10/1/1994,10752,1996,62,66
1080,Whiteout,Whiteout,9/9/2014,12/6/2014,770674765,2009,7,21
1082,Who's Your Daddy,Who's Your Daddy,1/5/2014,,14628,2002,-1,39
1084,"Wild Bunch, The",The Wild Bunch,6/1/1969,2/1/1968,12968,1969,98,91
1085,Wild Hogs,Wild Hogs,3/7/2014,7/5/2014,450816743,2007,14,62
1087,Wild Things  Diamonds in the Rough,Wild Things: Diamonds in the Rough,2/5/2014,2/4/2014,486278199,2005,-1,24
1088,Wild Wild West,Wild Wild West,,5/1/1998,11293,1999,20,28
1090,Win Win,Win Win,3/11/2014,,771224337,2011,94,85
1091,Wind Chill,Wind Chill,4/7/2014,,706675581,2007,48,31
1094,"Wizard of Oz, The","Wizard of Oz, The - We're Off to Save the Wizard",,3/1/1939,770896505,1992,-1,100
1096,"Woodsman, The",The Woodsman,12/4/2014,7/2/2014,13229,2004,88,78
1097,"World is not Enough, The",The World Is Not Enough,,6/21/1905,10446,1999,51,50
1098,"Wrestler, The",The Wrestler,1/9/2014,10/7/2014,770680582,2008,98,88
1101,X-Men Origins  Wolverine,X-Men Origins - Wolverine,5/9/2014,,770675725,2009,38,60
1102,xXx,XXX,,8/1/2014,11915,2002,48,59
1103,Year One,Year One,6/9/2014,10/7/2014,770684022,2009,14,23
1104,Yes Man,Yes Man,12/8/2014,2/7/2014,770682011,2008,45,66
1105,You Can Count On Me,You Can Count On Me,11/1/2000,,13769,2000,95,89
1107,Youth in Revolt,Youth in Revolt,1/10/2014,7/7/2014,770782193,2010,66,53
1108,Zero Dark Thirty,Zero Dark Thirty,1/13/2014,10/11/2014,771249562,2012,93,80
1109,Zerophilia,Zerophilia,10/6/2014,3/4/2014,358604202,2006,25,62
670,"Matrix Reloaded, The",The Matrix Reloaded,,4/1/1999,13008,2003,73,72
671,"Matrix, The",The Matrix,,6/1/1997,12897,1999,87,85
672,Max Payne,Max Payne,10/8/2014,8/7/2014,770706171,2008,16,30
673,Mean Streets,Mean Streets,10/1/1973,,14993,1973,98,85
674,"Mechanic, The",Body Mechanics - The Movie + DVD Game,1/11/2014,7/9/2014,770994394,2007,-1,0
675,Meet Joe Black,Meet Joe Black,,6/20/1905,12724,1998,51,81
676,Meet John Doe,Meet John Doe,5/1/1941,,20170,1941,88,83
677,Megamind,Megamind,11/10/2014,,770805424,2010,73,71
679,Men in Black,Men in Black III,,6/19/1905,771041419,2012,70,71
680,Men in Black 3,Men in Black III,5/12/2014,,771041419,2012,70,71
681,"Men Who Stare at Goats, The",The Men Who Stare at Goats,11/9/2014,10/8/2014,770790932,2009,52,39
682,Metro,Metro,,6/19/1905,15996,1997,15,27
683,Miami Vice,Miami Vice,7/6/2014,9/4/2014,190816390,2006,47,43
685,Midnight Express,Midnight Express,10/1/1978,6/1/1977,13816,1978,95,90
686,Midnight in Paris,Midnight in Paris,6/11/2014,,771040308,2011,93,82
687,Mighty Morphin Power Rangers  The Movie,Mighty Morphin Power Rangers - The Movie,6/1/1995,10/1/1994,11319,1995,50,57
688,Milk,Milk,11/8/2014,,770684396,2008,94,89
691,Mini's First Time,Mini's First Time,6/6/2014,,248006765,2006,54,47
693,"Miracle Worker, The",The Miracle Worker,7/1/1962,7/1/1961,18244,1962,100,88
694,Mirrors,Mirrors,8/8/2014,1/7/2014,770740067,2008,14,45
698,Mission to Mars,Mission To Mars,3/1/2000,,10912,2000,25,30
699,Moneyball,Moneyball,9/11/2014,,771189939,2011,94,86
700,Monkeybone,Monkeybone,2/1/2014,2/1/1999,11961,2001,20,28
702,Monte Carlo,Monte Carlo,7/11/2014,11/7/2014,771202906,2011,38,49
703,Moon,Moon,6/9/2014,11/7/2014,770782176,2009,89,89
704,Moonrise Kingdom,Moonrise Kingdom,6/12/2014,5/11/2014,771242131,2012,94,86
705,Moonstruck,Moonstruck,,6/9/1905,10256,1987,93,81
706,Mr Blandings Builds His Dream House,Mr. Blandings Builds His Dream House,6/1/1948,,18202,1948,80,76
707,Mr Brooks,Mr. Brooks,6/7/2014,,577183017,2007,55,76
708,Mr Deeds Goes to Town,Mr. Deeds Goes to Town,4/1/1936,12/1/1935,18903,1936,94,86
711,Mud,Mud,5/13/2014,9/11/2014,771307452,2013,98,80
712,Mulan,Mulan,,6/20/1905,9714,1998,86,84
714,Mumford,Mumford,9/1/1999,,14871,1999,56,67
715,"Mummy, The",The Mummy: Tomb of the Dragon Emperor,,6/21/1905,770671522,2008,13,30
716,Music of the Heart,Music of the Heart,10/1/1999,1/1/1999,10485,1999,63,73
717,My Best Friend's Wedding,My Best Friend's Wedding,,6/19/1905,12712,1997,71,74
718,My Girl,My Girl,11/1/1991,,11521,1991,50,78
720,My Week with Marilyn,My Week with Marilyn,12/11/2014,,771219504,2011,84,71
727,New York Minute,New York Minute,5/4/2014,2/3/2014,11558,2004,11,47
728,Newsies,Newsies,,6/1/1991,10068,1992,40,89
729,Next,Next,4/7/2014,5/4/2014,611219283,2007,28,54
731,"Next Three Days, The",The Next Three Days,11/10/2014,8/9/2014,770873457,2010,52,66
732,Nick of Time,Nick of Time,11/1/1995,3/1/1995,13222,1995,29,48
733,Night Time (The Poltergeist Treatment),Night Time in Nevada,6/1/1982,3/1/1980,770708707,1948,-1,0
734,Nightbreed,Nightbreed,2/1/1990,,13440,1990,38,63
735,"Nightmare Before Christmas, The",The Nightmare Before Christmas,,8/1/1991,12490,1993,94,92
739,Nine,Nine,12/9/2014,11/9/2014,770783485,2009,37,37
740,"Nines, The",The Nines,8/7/2014,11/6/2014,528361347,2006,64,62
741,Ninja Assassin,Ninja Assassin,11/9/2014,6/8/2014,770780587,2009,26,54
742,Ninotchka,Ninotchka,11/1/1939,,18487,1939,97,89
744,No Strings Attached,No Strings Attached,1/11/2014,,771225438,2011,49,52
745,Notting Hill,Notting Hill,,6/21/1905,10110,1999,83,79
748,Oblivion,Oblivion,4/13/2014,3/11/2014,771245728,2013,53,61
